NUM,W1,W2,W3,W4,L1,L2,L3,L4,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P
1,6806.575,308.040,6815.366,300.931,6.738,12.651,12.462,6.277,0.982,-0.180,0.611,-0.784,-0.092,-0.987,-0.784,-0.562,-0.706,0.258,-0.190,0.397,0.010,0.257,0.059,0.156,0.068,0.100,0.068,0.068,0.068,0.050,0.071,0.038,0.079,0.030,0.097,0.023,0.137,0.012,0.201,-0.014
2,6814.017,295.659,6802.062,307.560,3.921,12.080,8.552,3.360,0.990,-0.134,0.779,-0.621,0.334,-0.934,-0.238,-0.943,-0.698,-0.568,-0.739,-0.025,-0.468,0.274,-0.218,0.316,-0.075,0.268,-0.003,0.211,0.033,0.165,0.051,0.132,0.062,0.109,0.071,0.093,0.081,0.083,0.091,0.078
3,6813.128,293.334,6818.606,308.416,6.949,8.591,8.421,3.062,0.990,-0.132,0.786,-0.607,0.371,-0.917,-0.166,-0.978,-0.697,-0.691,-0.871,-0.066,-0.533,0.360,-0.194,0.383,-0.032,0.289,0.032,0.205,0.056,0.147,0.064,0.108,0.067,0.082,0.067,0.064,0.069,0.051,0.070,0.044
4,6804.067,300.720,6808.301,298.461,5.087,11.579,8.770,3.656,0.989,-0.140,0.761,-0.643,0.287,-0.952,-0.314,-0.933,-0.779,-0.487,-0.730,0.113,-0.374,0.352,-0.127,0.322,-0.013,0.242,0.035,0.176,0.054,0.131,0.062,0.100,0.067,0.080,0.071,0.066,0.077,0.057,0.084,0.052
5,6810.297,308.162,6811.948,296.276,4.988,8.184,6.621,2.117,0.993,-0.108,0.856,-0.510,0.561,-0.821,0.151,-0.983,-0.319,-0.937,-0.718,-0.621,-0.824,-0.127,-0.612,0.236,-0.341,0.346,-0.155,0.323,-0.051,0.266,0.004,0.211,0.033,0.168,0.048,0.135,0.056,0.111,0.061,0.097
6,6810.024,307.008,6809.532,307.725,6.543,9.632,6.638,5.694,0.990,-0.136,0.773,-0.627,0.326,-0.930,-0.216,-0.950,-0.717,-0.662,-0.938,-0.025,-0.522,0.499,-0.089,0.444,0.056,0.278,0.086,0.169,0.085,0.108,0.078,0.072,0.071,0.049,0.066,0.035,0.063,0.025,0.062,0.020
7,6805.777,308.679,6810.012,293.219,3.182,13.986,9.606,3.183,0.989,-0.142,0.751,-0.654,0.251,-0.951,-0.346,-0.870,-0.701,-0.412,-0.629,0.051,-0.384,0.253,-0.190,0.278,-0.074,0.245,-0.010,0.205,0.027,0.171,0.051,0.147,0.070,0.132,0.091,0.123,0.121,0.120,0.156,0.122
8,6802.493,309.781,6810.884,296.658,6.553,8.720,12.163,6.676,0.985,-0.163,0.675,-0.724,0.085,-0.972,-0.556,-0.796,-0.920,-0.123,-0.484,0.469,-0.059,0.388,0.060,0.230,0.080,0.137,0.078,0.087,0.074,0.059,0.071,0.042,0.071,0.031,0.075,0.023,0.086,0.015,0.102,0.008
9,6809.620,299.750,6816.258,304.445,3.322,14.275,13.143,4.159,0.985,-0.165,0.666,-0.738,0.027,-0.971,-0.586,-0.652,-0.679,-0.065,-0.414,0.234,-0.187,0.272,-0.061,0.233,0.003,0.189,0.037,0.155,0.061,0.133,0.082,0.120,0.110,0.115,0.160,0.117,0.271,0.114,0.478,0.044
10,6805.929,304.150,6814.183,295.205,5.519,14.764,9.894,6.253,0.984,-0.171,0.647,-0.755,-0.007,-0.990,-0.693,-0.671,-0.790,0.104,-0.310,0.401,-0.041,0.302,0.042,0.193,0.064,0.126,0.068,0.087,0.070,0.064,0.073,0.050,0.081,0.041,0.097,0.034,0.131,0.026,0.187,0.010
11,6813.505,303.471,6801.807,293.840,2.778,7.284,13.092,4.219,0.990,-0.133,0.778,-0.614,0.342,-0.911,-0.189,-0.918,-0.616,-0.610,-0.729,-0.139,-0.546,0.203,-0.303,0.316,-0.131,0.303,-0.033,0.256,0.021,0.210,0.053,0.175,0.075,0.151,0.096,0.136,0.123,0.129,0.156,0.128
12,6802.885,298.817,6805.821,298.306,3.472,13.309,13.481,5.959,0.984,-0.171,0.644,-0.758,-0.028,-0.981,-0.667,-0.605,-0.688,0.054,-0.338,0.305,-0.107,0.279,-0.006,0.210,0.037,0.156,0.057,0.120,0.070,0.098,0.084,0.085,0.105,0.078,0.145,0.076,0.242,0.066,0.441,-0.017
13,6806.294,300.028,6816.331,293.645,3.600,10.165,12.816,6.072,0.986,-0.156,0.703,-0.704,0.131,-0.977,-0.513,-0.797,-0.797,-0.191,-0.528,0.275,-0.204,0.338,-0.040,0.264,0.027,0.191,0.054,0.140,0.065,0.107,0.073,0.085,0.082,0.072,0.096,0.064,0.122,0.059,0.160,0.056
14,6808.681,303.994,6815.762,309.250,5.944,14.007,7.438,6.223,0.986,-0.157,0.699,-0.706,0.133,-0.974,-0.504,-0.830,-0.885,-0.220,-0.573,0.384,-0.140,0.405,0.025,0.266,0.068,0.168,0.076,0.110,0.075,0.076,0.074,0.056,0.075,0.042,0.080,0.033,0.092,0.026,0.108,0.020
15,6812.829,301.313,6812.757,295.591,3.406,12.578,11.071,3.624,0.988,-0.147,0.737,-0.670,0.213,-0.962,-0.403,-0.848,-0.733,-0.339,-0.598,0.124,-0.327,0.283,-0.140,0.275,-0.040,0.228,0.012,0.183,0.040,0.149,0.058,0.126,0.073,0.111,0.090,0.102,0.114,0.098,0.143,0.098
16,6805.986,304.895,6810.920,309.670,4.845,11.599,13.000,4.325,0.986,-0.161,0.686,-0.719,0.090,-0.980,-0.564,-0.756,-0.783,-0.108,-0.465,0.297,-0.168,0.320,-0.028,0.245,0.029,0.179,0.053,0.134,0.066,0.105,0.075,0.086,0.088,0.075,0.108,0.069,0.146,0.064,0.204,0.055
