NUM,W1,W2,W3,W4,W5,L1,L2,L3,L4,L5,S21M,S21P,S21M.1,S21P.1,S21M.2,S21P.2,S21M.3,S21P.3,S21M.4,S21P.4,S21M.5,S21P.5,S21M.6,S21P.6,S21M.7,S21P.7,S21M.8,S21P.8,S21M.9,S21P.9,S21M.10,S21P.10,S21M.11,S21P.11,S21M.12,S21P.12,S21M.13,S21P.13,S21M.14,S21P.14,S21M.15,S21P.15,W6,L6
1,6809.35744666106,293.088871756206,6811.07620644132,309.157014618091,6804.67132093671,1.34158073651069,5.73082966524515,7.31747934357171,10.2545245257957,1.43099948261414,0.991,-0.127,0.802,-0.59,0.407,-0.903,-0.106,-0.975,-0.593,-0.745,-0.84,-0.26,-0.709,0.222,-0.378,0.433,-0.108,0.412,0.037,0.313,0.098,0.217,0.117,0.145,0.119,0.095,0.113,0.059,0.107,0.035,0.102,0.02,0.0,0.0
2,6816.66278457191,300.118546722737,6812.93557491112,306.690865903265,6803.40415872687,1.62678250763523,5.04636896402782,11.8487923108565,12.0224509395853,4.73434980930288,0.984,-0.169,0.654,-0.749,0.014,-0.986,-0.641,-0.699,-0.824,-0.018,-0.454,0.416,-0.083,0.412,0.083,0.274,0.128,0.157,0.128,0.082,0.115,0.037,0.103,0.009,0.094,-0.009,0.09,-0.025,0.093,-0.042,0.101,-0.062,0.0,0.0
3,6814.73432523009,299.54753435328,6802.56139798224,300.29961897967,6818.97977291483,4.17232750211634,5.13432125135985,15.5574839346454,13.5073117970612,4.1567007919894,0.977,-0.204,0.505,-0.844,-0.287,-0.895,-0.776,-0.322,-0.623,0.31,-0.143,0.507,0.16,0.314,0.194,0.114,0.151,0.019,0.113,-0.02,0.089,-0.038,0.078,-0.053,0.079,-0.078,0.096,-0.145,-0.113,-0.662,-0.274,0.2,0.0,0.0
4,6816.30078841462,305.049774018988,6805.81669376861,298.498498851971,6811.87911505453,2.73771170580177,5.85110469415726,11.879299736642,9.21902864821441,2.06463922149112,0.987,-0.155,0.707,-0.698,0.152,-0.967,-0.456,-0.829,-0.815,-0.326,-0.715,0.245,-0.307,0.496,0.014,0.412,0.137,0.25,0.154,0.132,0.139,0.063,0.119,0.023,0.104,-0.0004165,0.093,-0.016,0.088,-0.029,0.089,-0.04,0.0,0.0
5,6817.89780549606,306.695392306899,6807.02866527595,303.039518284608,6816.00571039047,3.81931401633616,14.0081740727316,8.28543843654575,9.6878613332598,1.76430813041024,0.982,-0.177,0.624,-0.77,-0.04,-0.984,-0.714,-0.675,-0.909,0.125,-0.317,0.582,0.084,0.384,0.153,0.182,0.135,0.078,0.109,0.028,0.088,0.003,0.074,-0.011,0.065,-0.021,0.061,-0.031,0.061,-0.043,0.065,-0.058,0.0,0.0
6,6802.81379916438,306.431671078767,6816.64796524555,305.619825815975,6806.00564075706,3.53783113538261,12.9357094993571,9.93130383123602,6.36482514721471,4.65366063454391,0.982,-0.179,0.616,-0.78,-0.07,-0.973,-0.688,-0.63,-0.876,0.039,-0.463,0.623,0.15,0.51,0.246,0.17,0.172,0.029,0.112,-0.015,0.076,-0.028,0.055,-0.033,0.042,-0.035,0.035,-0.038,0.031,-0.043,0.029,-0.05,0.0,0.0
7,6812.28942034594,296.285665425935,6814.37113759146,310.091863834249,6814.55386102016,2.81590699040165,7.3790541967218,6.73407503616278,14.9440479276819,3.30091808593703,0.984,-0.166,0.665,-0.734,0.059,-0.971,-0.556,-0.764,-0.885,-0.194,-0.678,0.455,-0.089,0.603,0.193,0.332,0.202,0.13,0.157,0.038,0.118,-0.002,0.091,-0.021,0.074,-0.032,0.064,-0.041,0.059,-0.052,0.059,-0.066,0.0,0.0
8,6812.61933743411,305.335931736058,6801.47131739983,302.981664947848,6808.02221902528,3.34043885549797,8.8250172193812,9.06188320956969,12.913677930269,1.36717365785277,0.984,-0.169,0.657,-0.744,0.032,-0.98,-0.612,-0.74,-0.896,-0.07,-0.503,0.501,-0.026,0.458,0.128,0.255,0.14,0.126,0.121,0.058,0.101,0.022,0.086,0.001,0.075,-0.012,0.069,-0.023,0.066,-0.034,0.067,-0.045,0.0,0.0
9,6818.28627568217,290.224840305756,6806.62984625131,302.384072478745,6801.00699984347,2.15727562829978,6.75136372700671,13.0193185063976,5.27942881202034,2.60771890287139,0.988,-0.148,0.73,-0.666,0.228,-0.941,-0.336,-0.875,-0.744,-0.486,-0.802,0.057,-0.503,0.446,-0.122,0.498,0.098,0.359,0.168,0.212,0.17,0.112,0.154,0.051,0.136,0.014,0.125,-0.01,0.12,-0.03,0.124,-0.047,0.0,0.0
10,6808.6161938119,290.387681922192,6808.70272364892,306.74818717248,6802.52549805258,1.58834760415541,6.01293796328835,11.4006629865715,13.0227025082566,1.39055044976446,0.986,-0.16,0.686,-0.72,0.085,-0.971,-0.53,-0.74,-0.754,-0.178,-0.543,0.248,-0.241,0.363,-0.042,0.316,0.057,0.233,0.099,0.162,0.115,0.109,0.122,0.071,0.126,0.042,0.134,0.017,0.149,-0.01,0.17,-0.037,0.0,0.0
