NUM,W1,W2,W3,W4,L1,L2,L3,L4,S21M,S21P,S21M.1,S21P.1,S21M.2,S21P.2,S21M.3,S21P.3,S21M.4,S21P.4,S21M.5,S21P.5,S21M.6,S21P.6,S21M.7,S21P.7,S21M.8,S21P.8,S21M.9,S21P.9,S21M.10,S21P.10,S21M.11,S21P.11,S21M.12,S21P.12,S21M.13,S21P.13,S21M.14,S21P.14,S21M.15,S21P.15,W5,W6,L5,L6
1,6806.57482238906,308.039529174107,6815.36557222135,300.931438198201,6.73842780726959,12.6512122716659,12.4623382748272,6.27659300593253,0.982,-0.18,0.611,-0.784,-0.092,-0.987,-0.784,-0.562,-0.706,0.258,-0.19,0.397,0.01,0.257,0.059,0.156,0.068,0.1,0.068,0.068,0.068,0.05,0.071,0.038,0.079,0.03,0.097,0.023,0.137,0.012,0.201,-0.014,0.0,0.0,0.0,0.0
2,6814.01732492186,295.658618226239,6802.06184383723,307.559991955274,3.92089421048303,12.0801965134181,8.55169210431618,3.36023279191653,0.99,-0.134,0.779,-0.621,0.334,-0.934,-0.238,-0.943,-0.698,-0.568,-0.739,-0.025,-0.468,0.274,-0.218,0.316,-0.075,0.268,-0.003,0.211,0.033,0.165,0.051,0.132,0.062,0.109,0.071,0.093,0.081,0.083,0.091,0.078,0.0,0.0,0.0,0.0
3,6813.12846573991,293.33398438598,6818.60578356016,308.416144750916,6.94928139212179,8.59113116337619,8.42077759507388,3.06177499817086,0.99,-0.132,0.786,-0.607,0.371,-0.917,-0.166,-0.978,-0.697,-0.691,-0.871,-0.066,-0.533,0.36,-0.194,0.383,-0.032,0.289,0.032,0.205,0.056,0.147,0.064,0.108,0.067,0.082,0.067,0.064,0.069,0.051,0.07,0.044,0.0,0.0,0.0,0.0
4,6804.06687399337,300.719643271216,6808.3006177246,298.461280190405,5.08685475610824,11.5791964064504,8.77049282235405,3.65557921984022,0.989,-0.14,0.761,-0.643,0.287,-0.952,-0.314,-0.933,-0.779,-0.487,-0.73,0.113,-0.374,0.352,-0.127,0.322,-0.013,0.242,0.035,0.176,0.054,0.131,0.062,0.1,0.067,0.08,0.071,0.066,0.077,0.057,0.084,0.052,0.0,0.0,0.0,0.0
5,6810.296770568,308.162057383526,6811.94823497387,296.275639240106,4.98796384128393,8.18400273834451,6.6205838400511,2.11721378609324,0.993,-0.108,0.856,-0.51,0.561,-0.821,0.151,-0.983,-0.319,-0.937,-0.718,-0.621,-0.824,-0.127,-0.612,0.236,-0.341,0.346,-0.155,0.323,-0.051,0.266,0.004,0.211,0.033,0.168,0.048,0.135,0.056,0.111,0.061,0.097,0.0,0.0,0.0,0.0
6,6810.02355839818,307.008194714438,6809.53206583271,307.724704662921,6.54337867972638,9.63188870839001,6.63771425574022,5.69397017036607,0.99,-0.136,0.773,-0.627,0.326,-0.93,-0.216,-0.95,-0.717,-0.662,-0.938,-0.025,-0.522,0.499,-0.089,0.444,0.056,0.278,0.086,0.169,0.085,0.108,0.078,0.072,0.071,0.049,0.066,0.035,0.063,0.025,0.062,0.02,0.0,0.0,0.0,0.0
7,6805.7771016894,308.678518314885,6810.01176702051,293.219315714984,3.1821927721828,13.986370052179,9.60587764280634,3.18325283743868,0.989,-0.142,0.751,-0.654,0.251,-0.951,-0.346,-0.87,-0.701,-0.412,-0.629,0.051,-0.384,0.253,-0.19,0.278,-0.074,0.245,-0.01,0.205,0.027,0.171,0.051,0.147,0.07,0.132,0.091,0.123,0.121,0.12,0.156,0.122,0.0,0.0,0.0,0.0
8,6802.49338928499,309.780535654746,6810.88362128952,296.657827454799,6.55315122383046,8.71955087178692,12.163391488713,6.67642054726953,0.985,-0.163,0.675,-0.724,0.085,-0.972,-0.556,-0.796,-0.92,-0.123,-0.484,0.469,-0.059,0.388,0.06,0.23,0.08,0.137,0.078,0.087,0.074,0.059,0.071,0.042,0.071,0.031,0.075,0.023,0.086,0.015,0.102,0.008,0.0,0.0,0.0,0.0
9,6809.61959166133,299.75009058707,6816.25789494466,304.445491720782,3.32179183012535,14.2751471735469,13.1425059993651,4.15897051327732,0.985,-0.165,0.666,-0.738,0.027,-0.971,-0.586,-0.652,-0.679,-0.065,-0.414,0.234,-0.187,0.272,-0.061,0.233,0.003,0.189,0.037,0.155,0.061,0.133,0.082,0.12,0.11,0.115,0.16,0.117,0.271,0.114,0.478,0.044,0.0,0.0,0.0,0.0
10,6805.92888207168,304.150208946529,6814.18344090656,295.205398895306,5.51857199054521,14.7635474233005,9.89361047615221,6.25293111555295,0.984,-0.171,0.647,-0.755,-0.007,-0.99,-0.693,-0.671,-0.79,0.104,-0.31,0.401,-0.041,0.302,0.042,0.193,0.064,0.126,0.068,0.087,0.07,0.064,0.073,0.05,0.081,0.041,0.097,0.034,0.131,0.026,0.187,0.01,0.0,0.0,0.0,0.0
11,6813.50548166364,303.470578843406,6801.80731466824,293.839631277876,2.77774746907585,7.28428202089234,13.0921019236299,4.21916818634914,0.99,-0.133,0.778,-0.614,0.342,-0.911,-0.189,-0.918,-0.616,-0.61,-0.729,-0.139,-0.546,0.203,-0.303,0.316,-0.131,0.303,-0.033,0.256,0.021,0.21,0.053,0.175,0.075,0.151,0.096,0.136,0.123,0.129,0.156,0.128,0.0,0.0,0.0,0.0
12,6802.88540122909,298.816727952998,6805.82142258835,298.306114499107,3.47169532423402,13.3086438345265,13.4811506422754,5.959354113288,0.984,-0.171,0.644,-0.758,-0.028,-0.981,-0.667,-0.605,-0.688,0.054,-0.338,0.305,-0.107,0.279,-0.006,0.21,0.037,0.156,0.057,0.12,0.07,0.098,0.084,0.085,0.105,0.078,0.145,0.076,0.242,0.066,0.441,-0.017,0.0,0.0,0.0,0.0
