NUM,W1,W2,W3,W4,W5,W6,L1,L2,L3,L4,L5,L6,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P
1,6805.33,307.39,6818.88,303.18,6814.10,292.22,2.46,7.23,9.48,12.64,9.15,1.78,0.98,-0.21,0.51,-0.86,-0.31,-0.94,-0.92,-0.32,-0.67,0.56,0.11,0.60,0.29,0.18,0.19,-0.01,0.10,-0.05,0.05,-0.06,0.03,-0.05,0.01,-0.04,0.01,-0.04,-0.00,-0.04,-0.01,-0.04,-0.01,-0.05
2,6802.96,295.24,6813.40,294.09,6801.28,298.81,3.61,7.54,14.21,7.75,4.54,1.79,0.98,-0.19,0.56,-0.81,-0.17,-0.95,-0.79,-0.52,-0.85,0.24,-0.26,0.69,0.25,0.44,0.30,0.11,0.19,-0.04,0.11,-0.07,0.06,-0.07,0.03,-0.07,0.01,-0.07,0.00,-0.07,-0.01,-0.08,-0.04,-0.12
3,6809.59,291.43,6817.83,308.47,6813.43,305.67,3.37,9.09,11.78,10.15,8.85,4.90,0.97,-0.23,0.39,-0.91,-0.51,-0.84,-0.98,-0.04,-0.43,0.86,0.55,0.39,0.26,-0.11,0.07,-0.11,0.01,-0.07,-0.00,-0.04,-0.01,-0.03,-0.01,-0.02,-0.01,-0.02,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02
4,6801.41,301.27,6818.70,297.97,6807.06,309.52,4.10,4.88,12.12,14.98,6.07,3.38,0.97,-0.22,0.44,-0.88,-0.41,-0.85,-0.85,-0.18,-0.56,0.51,0.07,0.60,0.36,0.20,0.23,-0.06,0.10,-0.10,0.03,-0.09,0.01,-0.07,-0.01,-0.05,-0.02,-0.05,-0.03,-0.05,-0.05,-0.06,-0.10,-0.09
5,6806.75,306.78,6801.89,307.25,6810.93,299.64,1.87,8.05,6.83,8.53,8.70,3.90,0.98,-0.18,0.60,-0.79,-0.10,-0.98,-0.74,-0.63,-0.95,0.08,-0.55,0.80,0.43,0.70,0.42,0.00,0.17,-0.11,0.06,-0.09,0.02,-0.07,0.01,-0.05,-0.00,-0.04,-0.01,-0.03,-0.01,-0.02,-0.01,-0.02
6,6801.65,296.94,6801.80,291.24,6805.08,293.79,4.49,4.58,14.66,9.45,7.88,3.29,0.97,-0.22,0.46,-0.86,-0.34,-0.89,-0.89,-0.29,-0.70,0.55,0.11,0.72,0.44,0.18,0.23,-0.10,0.08,-0.12,0.02,-0.08,-0.00,-0.06,-0.01,-0.05,-0.02,-0.04,-0.03,-0.04,-0.04,-0.05,-0.09,-0.07
7,6806.42,303.44,6808.98,307.45,6812.08,290.74,3.85,6.48,11.32,8.42,7.78,1.61,0.98,-0.19,0.56,-0.81,-0.16,-0.97,-0.82,-0.55,-0.93,0.28,-0.22,0.85,0.42,0.39,0.30,-0.01,0.14,-0.08,0.06,-0.07,0.03,-0.06,0.01,-0.05,0.00,-0.04,-0.00,-0.03,-0.01,-0.03,-0.01,-0.03
8,6804.01,290.04,6813.65,307.30,6817.68,294.79,1.95,6.87,6.68,10.49,4.16,3.71,0.98,-0.16,0.68,-0.73,0.09,-0.98,-0.55,-0.82,-0.94,-0.26,-0.84,0.45,-0.19,0.85,0.42,0.50,0.39,0.03,0.20,-0.10,0.09,-0.10,0.04,-0.08,0.01,-0.06,-0.00,-0.05,-0.01,-0.04,-0.01,-0.03
9,6805.28,298.60,6806.56,295.72,6802.19,291.62,1.34,9.11,13.81,13.73,5.58,1.17,0.97,-0.21,0.47,-0.88,-0.40,-0.90,-0.90,-0.12,-0.39,0.52,0.07,0.38,0.16,0.16,0.14,0.05,0.11,0.00,0.08,-0.02,0.07,-0.04,0.06,-0.05,0.05,-0.07,0.05,-0.10,0.03,-0.22,-0.43,-0.57
10,6817.57,293.97,6808.88,304.38,6805.16,299.78,1.49,9.98,14.19,8.08,5.28,2.01,0.98,-0.20,0.53,-0.84,-0.25,-0.93,-0.82,-0.39,-0.71,0.35,-0.12,0.58,0.21,0.33,0.22,0.09,0.16,-0.01,0.10,-0.04,0.07,-0.06,0.04,-0.06,0.03,-0.07,0.02,-0.08,0.00,-0.12,-0.05,-0.20
11,6806.48,298.75,6801.91,310.55,6801.35,290.39,1.26,9.31,12.84,10.01,8.52,4.52,0.97,-0.22,0.43,-0.89,-0.44,-0.87,-0.94,-0.14,-0.51,0.74,0.35,0.46,0.27,0.01,0.12,-0.06,0.06,-0.06,0.03,-0.05,0.01,-0.04,0.00,-0.04,-0.00,-0.03,-0.01,-0.04,-0.02,-0.04,-0.03,-0.05
12,6802.59,290.72,6804.77,299.98,6811.55,294.37,2.23,6.52,6.78,9.57,8.93,1.86,0.98,-0.18,0.63,-0.77,-0.03,-0.99,-0.68,-0.70,-0.95,-0.02,-0.60,0.66,0.16,0.69,0.38,0.20,0.24,-0.03,0.12,-0.07,0.06,-0.07,0.03,-0.06,0.01,-0.05,0.00,-0.04,-0.00,-0.03,-0.01,-0.03
13,6807.61,303.24,6814.83,302.87,6805.45,297.00,1.62,6.83,9.94,11.43,8.88,3.45,0.98,-0.20,0.52,-0.85,-0.27,-0.95,-0.91,-0.39,-0.77,0.54,0.10,0.67,0.32,0.19,0.20,-0.01,0.10,-0.06,0.05,-0.06,0.03,-0.05,0.01,-0.04,0.00,-0.04,-0.00,-0.04,-0.01,-0.04,-0.01,-0.04
14,6808.69,295.07,6810.60,309.67,6817.76,297.44,4.47,9.55,12.48,13.52,4.62,2.55,0.97,-0.22,0.42,-0.90,-0.47,-0.86,-0.94,-0.08,-0.41,0.69,0.27,0.44,0.27,0.05,0.14,-0.06,0.07,-0.07,0.03,-0.06,0.01,-0.05,-0.00,-0.04,-0.01,-0.04,-0.02,-0.04,-0.03,-0.05,-0.07,-0.08
15,6806.21,293.05,6808.47,299.69,6803.09,308.01,2.73,6.68,11.71,9.38,4.42,3.58,0.98,-0.19,0.58,-0.80,-0.14,-0.97,-0.76,-0.57,-0.88,0.15,-0.40,0.69,0.23,0.58,0.38,0.14,0.23,-0.07,0.10,-0.10,0.04,-0.08,0.01,-0.06,-0.00,-0.05,-0.01,-0.04,-0.01,-0.04,-0.02,-0.04
16,6818.56,294.28,6816.09,308.80,6812.10,303.55,3.47,5.57,7.56,13.01,6.81,3.02,0.98,-0.19,0.57,-0.81,-0.17,-0.97,-0.80,-0.53,-0.87,0.23,-0.32,0.73,0.33,0.54,0.38,0.05,0.18,-0.11,0.07,-0.10,0.02,-0.07,0.00,-0.05,-0.01,-0.04,-0.01,-0.03,-0.01,-0.03,-0.02,-0.03
17,6806.77,297.76,6811.04,303.88,6816.29,298.14,2.30,8.05,11.96,9.68,5.58,2.60,0.98,-0.20,0.55,-0.83,-0.21,-0.96,-0.84,-0.48,-0.83,0.34,-0.14,0.72,0.31,0.35,0.27,0.04,0.15,-0.05,0.08,-0.07,0.04,-0.06,0.02,-0.05,0.01,-0.05,-0.00,-0.04,-0.01,-0.04,-0.01,-0.05
18,6801.36,290.43,6809.01,293.46,6815.36,293.49,1.83,5.86,14.51,10.66,7.91,4.98,0.97,-0.22,0.43,-0.89,-0.42,-0.87,-0.92,-0.17,-0.54,0.67,0.27,0.52,0.30,0.07,0.16,-0.06,0.07,-0.07,0.03,-0.06,0.01,-0.05,0.00,-0.05,-0.01,-0.04,-0.02,-0.05,-0.04,-0.07,-0.13,-0.11
19,6807.54,303.80,6806.69,301.06,6802.42,310.49,4.55,4.92,13.69,13.33,5.63,3.78,0.97,-0.22,0.43,-0.88,-0.41,-0.84,-0.84,-0.19,-0.60,0.51,0.10,0.66,0.42,0.18,0.23,-0.10,0.08,-0.12,0.02,-0.09,-0.00,-0.06,-0.01,-0.05,-0.02,-0.04,-0.03,-0.04,-0.05,-0.05,-0.10,-0.07
20,6814.91,298.55,6801.20,306.35,6805.73,304.11,3.44,8.45,12.30,12.72,7.06,4.73,0.97,-0.23,0.39,-0.91,-0.52,-0.83,-0.96,0.00,-0.36,0.81,0.44,0.38,0.27,-0.07,0.09,-0.10,0.02,-0.07,0.00,-0.05,-0.01,-0.03,-0.01,-0.03,-0.01,-0.02,-0.02,-0.02,-0.03,-0.03,-0.04,-0.03
