NUM,W1,W2,W3,W4,W5,W6,L1,L2,L3,L4,L5,L6,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P
1,6805.33101225421,307.38875935103,6818.8835951493,303.179660435211,6814.09777051318,292.216615376152,2.45951798200835,7.23441921078542,9.47857519757165,12.6417587406652,9.15360608110618,1.77874625037501,0.977,-0.206,0.505,-0.857,-0.313,-0.94,-0.918,-0.318,-0.672,0.555,0.107,0.599,0.291,0.178,0.19,-0.008,0.103,-0.052,0.054,-0.055,0.028,-0.049,0.014,-0.044,0.005,-0.04,-0.002,-0.039,-0.009,-0.042,-0.015,-0.047
2,6802.95666839802,295.242855564477,6813.40382927586,294.092652399624,6801.28206646923,298.813253046341,3.608534995987,7.54078376607001,14.2102723687634,7.75358813071162,4.53820014562865,1.79406564892623,0.979,-0.193,0.559,-0.813,-0.172,-0.953,-0.785,-0.519,-0.846,0.245,-0.261,0.687,0.252,0.442,0.296,0.106,0.192,-0.036,0.108,-0.071,0.059,-0.073,0.031,-0.068,0.014,-0.065,0.002,-0.067,-0.013,-0.081,-0.036,-0.115
3,6809.58850902346,291.429566506396,6817.83341634497,308.473619932346,6813.43126302437,305.671928080038,3.36734103431382,9.09238103398741,11.7839239535357,10.1493872529462,8.85082504507956,4.90169447233977,0.971,-0.23,0.394,-0.91,-0.505,-0.845,-0.977,-0.037,-0.435,0.863,0.55,0.394,0.258,-0.114,0.069,-0.106,0.013,-0.066,-0.003,-0.042,-0.008,-0.029,-0.01,-0.021,-0.012,-0.017,-0.014,-0.016,-0.018,-0.016,-0.024,-0.017
4,6801.40520709051,301.272915522665,6818.70151376063,297.966411986692,6807.05586310482,309.522085109336,4.10040860737219,4.87664381682343,12.1175600317663,14.9824945225813,6.06667173047068,3.38409455071853,0.974,-0.218,0.441,-0.884,-0.409,-0.855,-0.85,-0.177,-0.564,0.505,0.074,0.601,0.36,0.2,0.233,-0.063,0.097,-0.103,0.032,-0.085,0.005,-0.065,-0.008,-0.053,-0.017,-0.047,-0.027,-0.048,-0.048,-0.059,-0.099,-0.088
5,6806.74596790295,306.775920224344,6801.8917919727,307.251247047745,6810.93465947783,299.642041498555,1.8718490483911,8.05098129903204,6.82735339481865,8.53285020816468,8.6984203722514,3.90055870909714,0.981,-0.183,0.601,-0.793,-0.099,-0.983,-0.738,-0.629,-0.952,0.076,-0.55,0.798,0.43,0.7,0.423,0.003,0.171,-0.114,0.064,-0.093,0.022,-0.066,0.005,-0.048,-0.003,-0.035,-0.007,-0.028,-0.009,-0.023,-0.01,-0.02
6,6801.64888430349,296.944834974142,6801.80473383783,291.238521377938,6805.07775804417,293.786739797436,4.49208537523357,4.58007082567007,14.6600527722448,9.44731268915623,7.88123847467228,3.29241194700113,0.974,-0.216,0.459,-0.861,-0.34,-0.89,-0.893,-0.291,-0.7,0.546,0.109,0.725,0.442,0.179,0.234,-0.105,0.08,-0.116,0.02,-0.084,-0.002,-0.06,-0.012,-0.046,-0.018,-0.039,-0.026,-0.038,-0.043,-0.046,-0.089,-0.068
7,6806.4199142892,303.439921873992,6808.97880417258,307.45039517898,6812.08419430432,290.74277293937,3.85466416404551,6.47579376103482,11.3155463065098,8.41975192460048,7.7784812661184,1.61433876024347,0.979,-0.193,0.562,-0.811,-0.162,-0.969,-0.819,-0.554,-0.934,0.285,-0.218,0.851,0.423,0.392,0.298,-0.011,0.137,-0.083,0.061,-0.075,0.026,-0.059,0.009,-0.047,0.001,-0.038,-0.004,-0.033,-0.009,-0.031,-0.012,-0.031
8,6804.00804760214,290.042644017676,6813.64591724732,307.295562059186,6817.6843314535,294.787953054126,1.94536505735734,6.87086130471886,6.6833635493943,10.4947840121687,4.16184442179349,3.71173037533302,0.985,-0.164,0.675,-0.728,0.086,-0.984,-0.547,-0.819,-0.943,-0.263,-0.84,0.454,-0.187,0.851,0.424,0.5,0.392,0.033,0.2,-0.102,0.088,-0.103,0.035,-0.08,0.011,-0.06,-0.0003221,-0.046,-0.006,-0.036,-0.009,-0.031
9,6805.28030884177,298.595553560469,6806.55932464627,295.720979614049,6802.18599360943,291.621130420857,1.33631857226756,9.10945239304546,13.8064122309365,13.7318104297774,5.58424728382262,1.16576948851491,0.975,-0.214,0.466,-0.879,-0.404,-0.899,-0.903,-0.119,-0.394,0.524,0.071,0.376,0.157,0.163,0.137,0.054,0.107,0.004,0.083,-0.021,0.066,-0.036,0.056,-0.049,0.051,-0.067,0.049,-0.104,0.034,-0.222,-0.428,-0.575
10,6817.56847395177,293.974267413571,6808.87929377232,304.379814493797,6805.15972840858,299.784320682388,1.49034612677449,9.9829973507445,14.1892962648662,8.07744508921091,5.28470505304046,2.01198505523858,0.978,-0.199,0.53,-0.837,-0.25,-0.934,-0.819,-0.394,-0.713,0.348,-0.124,0.585,0.211,0.325,0.224,0.093,0.159,-0.009,0.104,-0.045,0.068,-0.057,0.045,-0.062,0.03,-0.067,0.018,-0.08,0.0004885,-0.115,-0.051,-0.201
11,6806.47555662731,298.751723453392,6801.90844933293,310.548391686844,6801.34666734287,290.385157332654,1.26268402029171,9.31013642341661,12.8389364143489,10.0073496193832,8.52399503954548,4.51945062724817,0.973,-0.222,0.431,-0.894,-0.441,-0.87,-0.939,-0.136,-0.513,0.737,0.353,0.462,0.269,0.014,0.123,-0.062,0.055,-0.06,0.025,-0.049,0.01,-0.041,0.002,-0.036,-0.004,-0.034,-0.01,-0.035,-0.019,-0.041,-0.033,-0.053
